Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,62915485696.0,1.319,0.16016,AGRESIVO,1,42.49,18.13,58.01,66.32,False,True,False,27.95,3864000000.0,2249999872.0,79.33,64.09,50.84,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,7.0,2,NUEVO,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,169517875200.0,1.441,0.12024,AGRESIVO,1,95.59,37.57,102.74,111.3,True,True,False,14.08,19306000384.0,12252000256.0,40.91,128.73,34.67,3,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,7.25,1,NUEVO,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2748419145728.0,1.107,0.34390998,BALANCEADO,1,369.79,37.21,400.12,475.84,True,True,False,23.11,175258992640.0,119262003200.0,31.54,587.31,58.82,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.18,4,NUEVO,MEDIA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3658738040832.0,1.128,0.35705003,BALANCEADO,1,302.43,52.77,309.3,266.26,True,True,True,28.0,150175006720.0,132169998336.0,16.13,376.29,24.42,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,7.25,1,NUEVO,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3692581879808.0,1.109,1.5202099,BALANCEADO,1,251.22,44.28,260.64,249.74,True,True,True,31.76,152901992448.0,117776998400.0,102.63,295.32,17.55,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.18,4,NUEVO,MEDIA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,315765522432.0,1.085,1.45541,BALANCEADO,1,317.03,33.16,359.74,373.29,True,True,False,22.26,25010999296.0,14156000256.0,514.39,408.18,28.75,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1279654232064.0,1.915,0.049250003,ESPECULATIVO,0,341.05,33.2,399.39,397.19,False,True,True,312.86,10503000064.0,3793999872.0,17.76,416.15,22.02,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,977854267392.0,0.661,0.21847,DEFENSIVO,0,122.65,46.56,124.76,109.56,True,True,True,44.93,44027998208.0,21892999168.0,64.44,136.02,10.9,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,105662013440.0,1.005,0.15488,BALANCEADO,1,100.14,36.48,110.32,159.6,False,True,False,59.96,2737999872.0,1748000000.0,18.54,184.36,84.1,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1436686352384.0,1.309,0.30238,AGRESIVO,1,567.86,39.63,636.33,683.79,False,True,False,24.17,101891997696.0,60458000384.0,39.16,860.25,51.49,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.25,1,NUEVO,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,86924632064.0,1.492,0.35985002,AGRESIVO,1,1714.58,47.74,1856.35,2151.25,True,True,False,43.58,4019000064.0,1996999936.0,169.24,2528.73,47.48,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,97308721152.0,1.188,0.16364,BALANCEADO,1,268.59,35.91,294.8,328.85,False,True,False,36.35,5632000000.0,2319000064.0,63.94,375.82,39.92,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,NUEVO,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2278701662208.0,1.383,0.22286,AGRESIVO,1,212.27,52.15,214.03,224.54,True,True,False,29.61,145730994176.0,77669998592.0,43.44,281.27,32.51,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5930427904.0,1.025,0.14374,BALANCEADO,1,11.09,44.81,11.7,13.31,True,True,False,21.33,75536000.0,282329984.0,3.9,13.8,24.48,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,506600423424.0,1.382,0.50458,AGRESIVO,1,1290.36,43.21,1391.14,1057.47,False,True,True,45.14,12266399744.0,9609400320.0,23.92,1479.68,14.67,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,447178473472.0,0.978,0.29650998,BALANCEADO,1,1007.46,57.6,989.54,948.77,True,False,True,52.34,13459999744.0,8549000192.0,60.26,1067.59,5.97,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,17180289024.0,0.994,-0.13465999,BALANCEADO,1,65.14,33.55,83.89,146.45,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,157.35,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4266742775808.0,2.335,1.01485,ESPECULATIVO,-1,175.55,46.99,182.26,180.14,True,True,True,35.83,133230002176.0,120066998272.0,7.25,268.22,52.79,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,163502669824.0,1.128,2.90084,BALANCEADO,1,208.06,48.64,222.52,218.73,True,True,True,83.9,-3238000128.0,1888999936.0,1032.89,269.0,29.29,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,NUEVO,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,331541446656.0,0.403,0.31562,DEFENSIVO,-1,141.65,31.3,153.19,151.85,False,True,True,20.95,24764999680.0,16161999872.0,68.72,166.77,17.74,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,326426951680.0,0.361,0.43323,DEFENSIVO,-1,75.84,45.77,77.25,71.36,True,True,True,24.95,16078000128.0,13107000320.0,139.79,83.67,10.32,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,355951312896.0,1.963,0.07082,ESPECULATIVO,0,218.31,57.55,210.14,197.81,True,False,True,83.65,6744999936.0,4268999936.0,6.36,289.35,32.54,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,444099297280.0,0.831,2.09915,BALANCEADO,1,497.62,45.97,516.12,552.41,True,True,False,30.1,20544000000.0,14968000512.0,256.04,657.11,32.05,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,NUEVO,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,582229426176.0,0.799,0.53954,DEFENSIVO,0,301.98,43.38,314.87,336.02,True,True,False,28.35,28987000832.0,20592001024.0,54.61,395.26,30.89,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,NUEVO,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,228390010880.0,0.685,0.35158002,DEFENSIVO,0,243.38,44.98,259.8,277.19,True,True,False,21.85,16117999616.0,10570999808.0,197.33,313.4,28.77,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,798914969600.0,1.043,0.16134001,BALANCEADO,1,296.25,53.58,298.86,302.64,True,True,False,14.79,,55680999424.0,,337.04,13.77,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,NUEVO,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,218312998912.0,0.532,,DEFENSIVO,-1,305.93,36.61,321.46,308.84,False,True,True,25.58,14593999872.0,8562999808.0,,344.85,12.72,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,210030460928.0,0.41,0.42848,DEFENSIVO,-1,153.65,43.85,159.66,147.89,True,True,True,25.61,18173999104.0,8240000000.0,258.08,170.35,10.87,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,7947714560.0,0.943,-0.12236,BALANCEADO,1,45.79,32.8,63.44,85.61,False,True,False,,-138772000.0,-105663000.0,0.1,91.03,98.8,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,NUEVO,BAJA
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,CORE,336847011840.0,1.519,0.43526,AGRESIVO,1,719.79,53.14,714.59,553.29,True,False,True,38.31,13960999936.0,8883999744.0,206.67,742.18,3.11,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.0,7,NUEVO,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,410728136704.0,1.597,0.57572,AGRESIVO,1,142.81,42.11,152.84,217.56,False,True,False,25.64,27441000448.0,16188000256.0,415.26,246.46,72.58,1,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,BAJA
