Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,Evolucion,ScoreAnterior,CambioScore,EstadoAnterior,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,62811824128.0,1.319,0.16016,AGRESIVO,1,42.42,18.06,58.01,66.32,False,True,False,27.9,3864000000.0,2249999872.0,79.33,64.09,51.09,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,7.0,2,NUEVO,,0,SIN_HISTORIAL,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,169340715008.0,1.441,0.12024,AGRESIVO,1,95.49,37.3,102.74,111.3,True,True,False,14.06,19306000384.0,12252000256.0,40.91,128.73,34.81,3,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,7.25,1,NUEVO,,0,SIN_HISTORIAL,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2747304247296.0,1.107,0.34390998,BALANCEADO,1,369.67,37.14,400.12,475.84,True,True,False,23.1,175258992640.0,119262003200.0,31.54,587.31,58.88,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.18,4,NUEVO,,0,SIN_HISTORIAL,MEDIA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3656197341184.0,1.128,0.35705003,BALANCEADO,1,302.24,52.63,309.3,266.26,True,True,True,27.99,150175006720.0,132169998336.0,16.13,376.29,24.5,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,7.25,1,NUEVO,,0,SIN_HISTORIAL,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3686827556864.0,1.109,1.5202099,BALANCEADO,1,250.84,43.87,260.63,249.74,True,True,True,31.71,152901992448.0,117776998400.0,102.63,295.32,17.73,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.18,4,NUEVO,,0,SIN_HISTORIAL,MEDIA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,315406974976.0,1.085,1.45541,BALANCEADO,1,316.64,32.97,359.73,373.29,True,True,False,22.24,25010999296.0,14156000256.0,514.39,408.18,28.91,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,,0,SIN_HISTORIAL,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1279785566208.0,1.915,0.049250003,ESPECULATIVO,0,341.05,33.2,399.39,397.19,False,True,True,312.89,10503000064.0,3793999872.0,17.76,416.15,22.02,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,,0,SIN_HISTORIAL,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,976579461120.0,0.661,0.21847,DEFENSIVO,0,122.5,46.2,124.76,109.56,True,True,True,44.87,44027998208.0,21892999168.0,64.44,136.02,11.04,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,,0,SIN_HISTORIAL,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,105746432000.0,1.005,0.15488,BALANCEADO,1,100.22,36.57,110.32,159.6,False,True,False,60.01,2737999872.0,1748000000.0,18.54,184.36,83.96,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1435193835520.0,1.309,0.30238,AGRESIVO,1,567.38,39.51,636.32,683.79,False,True,False,24.14,101891997696.0,60458000384.0,39.16,860.25,51.62,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.25,1,NUEVO,,0,SIN_HISTORIAL,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,86851371008.0,1.492,0.35985002,AGRESIVO,1,1713.14,47.56,1856.32,2151.24,True,True,False,43.55,4019000064.0,1996999936.0,169.24,2528.73,47.61,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,,0,SIN_HISTORIAL,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,97283358720.0,1.188,0.16364,BALANCEADO,1,268.52,35.88,294.8,328.85,False,True,False,36.34,5632000000.0,2319000064.0,63.94,375.82,39.96,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,NUEVO,,0,SIN_HISTORIAL,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2275749396480.0,1.383,0.22286,AGRESIVO,1,211.99,51.83,214.02,224.54,True,True,False,29.57,145730994176.0,77669998592.0,43.44,281.27,32.68,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,,0,SIN_HISTORIAL,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5933047808.0,1.025,0.14374,BALANCEADO,1,11.1,44.88,11.7,13.31,True,True,False,21.34,75536000.0,282329984.0,3.9,13.8,24.37,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,506315702272.0,1.382,0.50458,AGRESIVO,1,1289.45,43.12,1391.12,1057.47,False,True,True,45.12,12266399744.0,9609400320.0,23.92,1479.51,14.74,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,446785617920.0,0.978,0.29650998,BALANCEADO,1,1006.57,57.13,989.53,948.77,True,False,True,52.29,13459999744.0,8549000192.0,60.26,1067.59,6.06,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,,0,SIN_HISTORIAL,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,17177651200.0,0.994,-0.13465999,BALANCEADO,1,65.13,33.54,83.89,146.45,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,157.38,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4263099498496.0,2.335,1.01485,ESPECULATIVO,-1,175.4,46.83,182.26,180.13,True,True,True,35.8,133230002176.0,120066998272.0,7.25,268.22,52.92,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,163333783552.0,1.128,2.90084,BALANCEADO,1,207.85,48.47,222.52,218.73,True,True,True,83.81,-3238000128.0,1888999936.0,1032.89,269.0,29.42,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,NUEVO,,0,SIN_HISTORIAL,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,330874421248.0,0.403,0.31562,DEFENSIVO,-1,141.37,30.81,153.18,151.84,False,True,True,20.91,24764999680.0,16161999872.0,68.72,166.77,17.97,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,,0,SIN_HISTORIAL,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,326219956224.0,0.361,0.43323,DEFENSIVO,-1,75.79,45.53,77.25,71.36,True,True,True,24.93,16078000128.0,13107000320.0,139.79,83.67,10.4,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,,0,SIN_HISTORIAL,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,355079028736.0,1.963,0.07082,ESPECULATIVO,0,217.79,57.17,210.13,197.81,True,False,True,83.44,6744999936.0,4268999936.0,6.36,289.35,32.86,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,443604008960.0,0.831,2.09915,BALANCEADO,1,497.07,45.67,516.1,552.41,True,True,False,30.07,20544000000.0,14968000512.0,256.04,657.11,32.2,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,NUEVO,,0,SIN_HISTORIAL,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,581689540608.0,0.799,0.53954,DEFENSIVO,0,301.72,43.11,314.87,336.02,True,True,False,28.33,28987000832.0,20592001024.0,54.61,395.26,31.0,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,NUEVO,,0,SIN_HISTORIAL,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,228386340864.0,0.685,0.35158002,DEFENSIVO,0,243.38,44.98,259.8,277.19,True,True,False,21.85,16117999616.0,10570999808.0,197.33,313.4,28.77,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,798861033472.0,1.043,0.16134001,BALANCEADO,1,296.2,53.53,298.86,302.64,True,True,False,14.79,,55680999424.0,,337.04,13.79,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,NUEVO,,0,SIN_HISTORIAL,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,218134593536.0,0.532,,DEFENSIVO,-1,305.71,36.4,321.46,308.84,False,True,True,25.56,14593999872.0,8562999808.0,,344.85,12.8,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,7.0,2,NUEVO,,0,SIN_HISTORIAL,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,209880104960.0,0.41,0.42848,DEFENSIVO,-1,153.54,43.65,159.65,147.89,True,True,True,25.59,18173999104.0,8240000000.0,258.08,170.35,10.95,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,3,NUEVO,,0,SIN_HISTORIAL,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,7956514304.0,0.943,-0.12236,BALANCEADO,1,45.84,32.85,63.44,85.61,False,True,False,,-138772000.0,-105663000.0,0.1,91.03,98.58,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,NUEVO,,0,SIN_HISTORIAL,BAJA
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,CORE,336407101440.0,1.519,0.43526,AGRESIVO,1,718.85,52.87,714.57,553.28,True,False,True,38.26,13960999936.0,8883999744.0,206.67,742.18,3.24,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.0,7,NUEVO,,0,SIN_HISTORIAL,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,410267942912.0,1.597,0.57572,AGRESIVO,1,142.65,41.97,152.83,217.56,False,True,False,25.61,27441000448.0,16188000256.0,415.26,246.46,72.77,1,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,4,NUEVO,,0,SIN_HISTORIAL,BAJA
NFLX,"Netflix, Inc.",Communication Services,Entertainment,CORE,417910947840.0,1.669,0.42762002,AGRESIVO,0,98.51,64.21,88.72,106.89,True,False,False,38.94,13659992064.0,10981200896.0,63.78,113.9,15.62,1,4,5,SIN SETUP,SEGUIMIENTO,BAJA,4,7.25,1,NUEVO,,0,SIN_HISTORIAL,BAJA
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,GROWTH,36806512640.0,2.205,-0.18837999,ESPECULATIVO,-1,64.57,45.83,71.31,58.36,True,True,True,,-185512992.0,-198208992.0,15.39,87.58,35.64,3,2,4,PULLBACK EN TENDENCIA,EVITAR,NULA,0,5.0,7,NUEVO,,0,SIN_HISTORIAL,IGNORAR
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,GROWTH,61428224000.0,2.464,0.21993999,ESPECULATIVO,-1,68.23,40.96,78.45,107.58,True,True,False,33.28,,1883000064.0,136.04,111.59,63.55,2,3,4,PULLBACK,EVITAR,NULA,0,5.5,6,NUEVO,,0,SIN_HISTORIAL,IGNORAR
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,576315326464.0,0.329,0.35029998,DEFENSIVO,-1,239.15,47.66,239.73,199.3,False,True,True,21.68,33835999232.0,26804000768.0,60.5,241.25,0.88,2,3,4,PULLBACK,EVITAR,NULA,0,3.67,8,NUEVO,,0,SIN_HISTORIAL,IGNORAR
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,CORE,281066373120.0,0.408,0.12538,DEFENSIVO,-1,309.65,67.85,283.44,312.44,True,False,False,23.42,21624999936.0,12056000512.0,81.62,359.77,16.19,1,4,4,SIN SETUP,EVITAR,NULA,0,3.67,8,NUEVO,,0,SIN_HISTORIAL,IGNORAR
SPY,State Street SPDR S&P 500 ETF Trust,,,ETF,601156419584.0,,,SIN DATO,0,655.01,45.56,675.17,663.17,True,True,True,25.97,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,,0,SIN_HISTORIAL,IGNORAR
QQQ,Invesco QQQ Trust,,,ETF,229303091200.0,,,SIN DATO,0,583.32,45.89,601.78,595.52,True,True,True,31.4,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,,0,SIN_HISTORIAL,IGNORAR
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,,,ETF,37682892800.0,,,SIN DATO,0,463.83,44.42,480.77,467.76,True,True,True,22.73,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,,0,SIN_HISTORIAL,IGNORAR
IWM,iShares Russell 2000 ETF,,,ETF,70596968448.0,,,SIN DATO,0,251.19,50.1,256.51,243.27,True,True,True,18.19,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,,0,SIN_HISTORIAL,IGNORAR
EEM,iShares MSCI Emerging Markets ETF,,,ETF,42691178496.0,,,SIN DATO,0,56.74,46.58,59.03,54.22,True,True,True,15.78,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,,0,SIN_HISTORIAL,IGNORAR
XLK,State Street Technology Select Sector SPDR ETF,,,ETF,36956061696.0,,,SIN DATO,0,135.84,48.45,139.24,138.63,True,True,True,32.29,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,,0,SIN_HISTORIAL,IGNORAR
