Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,86374006784.0,1.005,0.15488,BALANCEADO,1,81.86,21.81,107.75,158.0,False,True,False,49.02,2737999872.0,1748000000.0,18.54,183.99,124.77,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.55,3,0,9,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63164719104.0,1.319,0.16016,AGRESIVO,1,42.65,22.83,56.8,66.06,False,True,False,28.06,3864000000.0,2249999872.0,79.33,64.09,50.28,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,2,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2755628367872.0,1.107,0.34390998,BALANCEADO,1,370.76,38.24,393.88,474.17,True,True,False,23.22,175258992640.0,119262003200.0,31.54,587.31,58.41,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.55,3,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3814258900992.0,1.109,1.5202099,BALANCEADO,1,259.53,54.25,260.86,250.63,True,True,True,32.89,152901992448.0,117776998400.0,102.63,296.12,14.1,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.55,3,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175778119680.0,1.441,0.12024,AGRESIVO,1,99.12,50.59,102.08,111.02,True,True,False,14.6,19306000384.0,12252000256.0,40.91,128.39,29.53,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,14930552832.0,0.994,-0.13465999,BALANCEADO,1,56.61,25.3,79.33,144.43,False,True,False,,-22988000.0,-189224992.0,76.38,167.15,195.27,4,2,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.55,3,0,7,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,217560760320.0,0.685,0.35158002,DEFENSIVO,0,231.84,36.08,256.36,276.43,True,True,False,20.79,16117999616.0,10570999808.0,197.33,310.76,34.04,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.55,3,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5061406208.0,1.025,0.14374,BALANCEADO,1,9.47,30.13,11.42,13.27,False,True,False,18.2,75536000.0,282329984.0,3.9,13.8,45.78,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.55,3,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89971277824.0,1.492,0.35985002,AGRESIVO,1,1774.68,53.99,1828.25,2141.18,True,True,False,44.99,4019000064.0,1996999936.0,169.24,2505.65,41.19,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1588054851584.0,1.309,0.30238,AGRESIVO,1,627.8,56.94,633.57,682.7,True,True,False,26.71,101891997696.0,60458000384.0,39.16,860.25,37.03,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3832934563840.0,1.128,0.35705003,BALANCEADO,1,316.85,61.1,308.34,268.55,True,False,True,29.34,150175006720.0,132169998336.0,16.13,376.29,18.76,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,442729922560.0,0.978,0.29650998,BALANCEADO,1,997.43,49.81,992.68,949.16,True,False,True,51.95,13459999744.0,8549000192.0,60.26,1067.94,7.07,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,0,7,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,217175605248.0,0.532,,DEFENSIVO,-1,305.52,38.91,321.09,309.1,True,True,True,25.57,14593999872.0,8562999808.0,,344.85,12.87,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.67,2,0,6,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,170355294208.0,1.128,2.90084,BALANCEADO,1,216.78,54.87,220.96,219.01,True,True,True,87.06,-3238000128.0,1888999936.0,1032.89,267.24,23.28,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,0,6,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,340201242624.0,0.403,0.31562,DEFENSIVO,-1,145.35,44.76,153.02,151.63,True,True,True,21.53,24764999680.0,16161999872.0,68.72,166.23,14.36,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,4,0,6,BAJA
