Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63300513792.0,1.319,0.16016,AGRESIVO,1,42.74,23.42,56.41,65.97,False,True,False,28.12,4.49,3864000000.0,2249999872.0,79.33,2.89,63.64,48.9,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.33,3,9,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3791697477632.0,1.109,1.5202099,BALANCEADO,1,257.98,51.87,260.87,250.92,True,True,True,32.7,43.01,152901992448.0,117776998400.0,102.63,0.59,296.33,14.87,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.82,5,8,0,MEDIA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,435422560256.0,0.978,0.29650998,BALANCEADO,1,980.97,43.91,993.26,949.14,True,True,True,50.91,26.31,13459999744.0,8549000192.0,60.26,0.76,1067.94,8.87,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.4,2,8,0,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,178775146496.0,1.441,0.12024,AGRESIVO,1,100.81,55.85,101.86,110.93,True,True,False,14.85,1.65,19306000384.0,12252000256.0,40.91,2.42,128.39,27.36,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.5,1,8,0,MEDIA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,990331863040.0,0.661,0.21847,DEFENSIVO,0,124.22,49.07,125.54,110.15,True,True,True,45.5,9.94,44027998208.0,21892999168.0,64.44,1.55,136.44,9.84,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,2,7,0,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,93410852864.0,1.005,0.15488,BALANCEADO,1,88.53,32.02,107.21,157.45,False,True,False,53.01,7.15,2737999872.0,1748000000.0,18.54,0.88,182.29,105.9,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,5,7,0,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2841323765760.0,1.107,0.34390998,BALANCEADO,1,382.29,49.82,392.86,473.62,True,True,False,23.92,7.27,175258992640.0,119262003200.0,31.54,0.7,585.41,53.13,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,5,7,0,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5379581952.0,1.025,0.14374,BALANCEADO,1,10.06,39.2,11.36,13.26,False,True,False,19.35,2.59,75536000.0,282329984.0,3.9,1.08,13.8,37.23,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,5,7,0,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,105701277696.0,1.188,0.16364,BALANCEADO,1,291.76,49.43,294.74,328.3,True,True,False,39.48,6.28,5632000000.0,2319000064.0,63.94,1.69,373.3,27.95,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,7,0,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3878540279808.0,1.128,0.35705003,BALANCEADO,1,320.62,63.44,307.99,269.3,True,False,True,29.63,9.33,150175006720.0,132169998336.0,16.13,0.45,375.93,17.25,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.5,1,7,0,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,335391555584.0,0.403,0.31562,DEFENSIVO,-1,143.3,40.43,152.88,151.55,True,True,True,21.23,6.37,24764999680.0,16161999872.0,68.72,1.48,164.95,15.11,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,2,6,0,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,328342339584.0,0.361,0.43323,DEFENSIVO,-1,76.29,47.72,77.58,71.52,True,True,True,25.09,10.2,16078000128.0,13107000320.0,139.79,2.98,83.67,9.67,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,2,6,0,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,451046932480.0,0.831,2.09915,BALANCEADO,1,505.41,50.94,514.17,551.58,True,True,False,30.61,58.4,20544000000.0,14968000512.0,256.04,0.97,657.11,30.02,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,7,6,0,BAJA
