Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
T,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,25.56,27.2,27.88,26.83,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,18.9,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,0.0,9.0,MEDIA
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,45.31,24.23,49.16,43.56,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,13.84,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,0.0,9.0,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,45.87,37.76,55.73,65.75,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,38.74,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.73,4,0.0,8.0,MEDIA
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,78.39,39.25,81.33,80.79,False,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,23.46,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.61,5,0.0,8.0,MEDIA
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79172132864.0,1.278,0.09646,AGRESIVO,1,141.11,55.62,141.76,137.57,True,True,True,34.51,3.9,5878000128.0,2304999936.0,69.28,2.39,164.17,16.34,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,0.0,8.0,MEDIA
CMCSA,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,28.39,43.99,30.06,29.3,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,15.12,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.56,1,0.0,8.0,MEDIA
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64610328576.0,0.755,0.15427,DEFENSIVO,0,160.92,39.71,165.75,140.82,False,True,True,14.92,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,12.23,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.22,7,0.0,8.0,MEDIA
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,CORE,S&P 500,86434103296.0,1.286,0.15869,AGRESIVO,1,362.8,50.5,366.52,283.16,True,True,True,19.34,2.9,11559999488.0,4477000192.0,140.99,3.64,403.07,11.1,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,0.0,8.0,MEDIA
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87822188544.0,1.098,0.33772,BALANCEADO,1,103.45,58.31,106.13,97.15,True,True,True,15.76,5.41,12211999744.0,5571999744.0,175.88,2.34,112.71,8.96,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,0.0,8.0,MEDIA
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,CORE,S&P 500,808891121664.0,0.504,1.01159,DEFENSIVO,-1,904.16,39.87,978.92,903.98,True,True,True,39.35,30.48,31693000704.0,20640000000.0,165.31,1.38,1209.69,33.79,4,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.61,5,0.0,7.0,BAJA
