Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,ScoreAnterior,EstadoAnterior,CambioScore,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,66187939840.0,1.286,0.17950001,AGRESIVO,1,44.71,20.71,59.32,66.57,False,True,False,26.15,3808000000.0,2524000000.0,80.1,67.09,50.06,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.83,1,,,,SIN HISTORIAL,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3737682444288.0,1.116,1.5202099,BALANCEADO,1,254.27,48.08,260.17,248.85,True,True,True,32.23,152901992448.0,117776998400.0,102.63,295.07,16.05,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.73,5,,,,SIN HISTORIAL,MEDIA
V,Visa Inc.,Financial Services,Credit Services,CORE,575028133888.0,0.791,0.53954,DEFENSIVO,0,298.24,37.9,316.3,336.75,True,True,False,28.03,28987000832.0,20592001024.0,54.61,398.91,33.76,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.75,4,,,,SIN HISTORIAL,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,329070837760.0,1.044,1.45541,BALANCEADO,1,330.39,38.77,363.44,373.71,True,True,False,23.2,25010999296.0,14156000256.0,514.39,408.18,23.55,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,,,,SIN HISTORIAL,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2743662280704.0,1.108,0.34390998,BALANCEADO,1,369.12,35.55,405.01,477.44,False,True,False,23.09,175258992640.0,119262003200.0,31.54,589.9,59.81,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,,,,SIN HISTORIAL,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,87254925312.0,1.527,0.35985002,AGRESIVO,1,1721.1,48.31,1880.56,2161.79,True,True,False,43.66,4019000064.0,1996999936.0,169.24,2544.5,47.84,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,,,,SIN HISTORIAL,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2256327933952.0,1.42,0.22286,AGRESIVO,1,210.18,50.04,215.42,224.58,True,True,False,29.36,145730994176.0,77669998592.0,43.44,281.26,33.82,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,,,,SIN HISTORIAL,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3583131779072.0,1.112,0.35705003,BALANCEADO,1,296.23,47.97,311.05,264.39,False,True,True,27.4,150175006720.0,132169998336.0,16.13,376.93,27.24,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,2,,,,SIN HISTORIAL,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,532861419520.0,1.431,0.50458,AGRESIVO,1,1357.06,49.74,1395.73,1049.38,False,True,True,47.78,12266399744.0,9609400320.0,23.92,1480.05,9.06,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,,,,SIN HISTORIAL,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,442036224000.0,0.993,0.29650998,BALANCEADO,1,995.87,54.97,987.56,948.25,True,False,True,51.79,13459999744.0,8549000192.0,25.98,1067.09,7.15,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,3,,,,SIN HISTORIAL,BAJA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,171415601152.0,1.443,0.12024,AGRESIVO,1,96.66,40.6,103.72,111.63,False,True,False,14.24,19306000384.0,12252000256.0,40.91,128.73,33.18,1,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,2,,,,SIN HISTORIAL,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,18285377536.0,0.981,-0.13465999,BALANCEADO,1,69.33,38.64,87.51,148.42,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,141.79,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,,,,SIN HISTORIAL,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,341465104384.0,2.022,0.07082,ESPECULATIVO,-1,209.44,53.19,212.27,196.43,True,True,True,80.55,6744999936.0,4268999936.0,6.36,289.61,38.28,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.73,5,,,,SIN HISTORIAL,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,162968371200.0,1.096,2.90084,BALANCEADO,1,207.38,48.15,225.02,218.58,True,True,True,83.29,-3238000128.0,1888999936.0,1032.89,270.36,30.37,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,4.67,7,,,,SIN HISTORIAL,BAJA
